[-38592.65635189],[-75241.11914435],[-65571.81211369]
[ 8369.30395359],[-37316.34809337],[ 61214.67655221]
[ 13047.35030422],[ 20191.93471089],[-21342.95664938]
[ 19717.48358384],[ 48515.15491623],[ 67492.03059025]
[ 20381.56702929],[ 9530.29000218],[ 71549.81897594]
[ 11410.42116153],[-98286.11055466],[-91218.54119469]
[-76962.68409157],[-60604.2468589],[ 25988.26414656]
[-23622.72415423],[ 2052.90976774],[ 61807.47026319]
[ 60104.79115145],[-89913.78324299],[ 30099.94259737]
[ 59081.36913371],[ 78003.42805289],[ 35918.02091171]
[ 34958.88066331],[-66973.64092967],[-83460.68320651]
[ 18666.66749192],[ 52476.31023627],[-8711.92041645]
[-31673.89550172],[ 56226.59631683],[ 26108.53662201]
[ 67880.86267067],[-1264.87811012],[-52249.24050914]
[-63164.33971489],[ 45839.7214298],[ 37506.42768523]
[ 88162.12437352],[ 57434.98269783],[ 69730.61941436]
[ 44443.36798915],[-67731.32445573],[-58333.439849]
[ 58739.88453948],[ 15790.27227108],[ 13554.01804384]
[ 7333.91833208],[-49351.49680434],[ 30193.52019009]
[ 76876.62861715],[ 41345.32952611],[ 39700.46916082]
[ 18478.76527489],[-94445.46857637],[-80036.55590818]
[-72629.72161334],[ 67596.19521776],[ 45151.41599063]
[ 65205.29417703],[ 4304.71181781],[-47233.41915485]
[-98173.26173675],[ 72200.24810427],[-69242.83706422]
[ 80183.80345664],[ 76386.67446468],[-23501.74197335]
[-9697.09346046],[-67911.54351681],[-8371.022444]
[-38913.84148807],[ 64661.19279654],[ 80756.98413153]
[-27112.14761611],[ 57577.08161013],[-28050.77057321]
[-23603.63345879],[-32117.95477182],[-9346.03739278]
[-25464.03578088],[-80891.90581368],[ 53327.51382454]
[ 71490.24905755],[ 11227.81005475],[-26905.85525694]
[ 19471.34018553],[-86735.85404057],[ 64022.60628543]
[ 43661.80746442],[ 93240.4381005],[ 15929.07287041]
[ 71351.0113909],[-97392.3908865],[ 79309.12895296]
[ 50148.0192197],[-2411.80321269],[ 66622.63468022]
[-67328.84456419],[ 5771.03351299],[-48937.12337904]
[ 63612.4378456],[-41878.23414663],[-87363.82735657]
[-30018.43035015],[-54130.23407109],[ 30001.72789221]
[ 99677.55934627],[-34998.87399696],[ 73498.40486808]
[-87933.88691291],[-52943.88291993],[ 40993.8648047]
[ 90833.02620225],[ 28727.22713893],[ 14991.5828658]
[ 40096.21514809],[ 64844.29577285],[-88309.47680279]
[-89203.09713994],[-2956.88075704],[-18730.90317943]
[-33877.75010398],[ 70963.95642444],[-24473.11559733]
[ 67485.06310423],[ 31618.14487387],[ 84185.17945441]
[ 54994.32416051],[-80084.12022271],[-93056.99305146]
[ 62887.15915394],[-33072.77701052],[ 14438.92287795]
[ 92261.32333337],[-71519.0929138],[ 73300.68688383]
[-25076.91578336],[ 67966.59409958],[-72222.82077877]
[-50666.53196372],[-14232.99133747],[ 72108.67982788]
[ 65492.73421576],[-8118.76892437],[ 42339.15457999]
[-35721.11718832],[-62392.98247962],[ 30814.23113069]
[-28602.31318715],[-51511.54107078],[ 46453.67046357]
[ 71999.09907196],[-24558.39560462],[ 49358.96742169]
[-33036.52627772],[-74395.82628211],[ 68600.87287698]
[-50910.82626416],[-29165.6993048],[ 75638.52311202]
[ 13906.40993667],[ 31514.47954468],[-83696.81206852]
[-21811.34034214],[-90544.47504218],[-63741.69357355]
[ 44740.49978419],[-50602.75837553],[-39816.2203948]
[-6782.72152655],[ 79668.63553403],[ 52403.57522926]
[-73567.86692292],[ 62633.56605978],[ 23630.87003417]
[ 98986.78648631],[-59035.01227039],[-26318.81036424]
[ 25001.63833893],[-16157.37593859],[ 45180.58994853]
[ 21392.02937396],[ 98615.78022486],[-15150.9172606]
[-69137.82259862],[-97869.82612236],[-63752.11142744]
[-29173.71737746],[ 6853.24181522],[-9674.03490142]
[ 17080.5649536],[ 70602.69043622],[ 97166.27193286]
[-78526.33303609],[-18354.50803579],[-94490.98294845]
[ 60581.4738122],[ 67469.24941497],[ 62826.2164395]
[-38503.58977631],[ 61297.34922813],[-59808.05825957]
[-14062.28241919],[-43696.10717227],[-71319.14994674]
[-3698.6541682],[ 91408.38817363],[-75809.45831089]
[-1991.88031147],[-29611.69383508],[ 30072.13710779]
[ 49155.11254658],[ 33696.51065202],[-93227.05475247]
[-87201.31013425],[-51333.32136868],[ 43651.74620449]
[-69663.75562078],[-54464.86627429],[-17649.25024808]
[-81186.83385184],[-58507.72700046],[-47992.65154139]
[-34190.71760766],[ 14737.50713561],[-36951.73900357]
[ 73730.2872527],[ 9545.17728971],[-85552.11975443]
[ 38607.99105341],[ 16935.70421487],[ 74928.891765]
[ 68836.51176078],[-64884.39213632],[-8832.74313756]
[ 28121.85493923],[ 69758.02318497],[-35241.2675073]
[ 61796.2414082],[-99798.1121628],[ 54823.63595318]
[-90898.55421518],[ 39346.38929756],[-24500.16577728]
[ 30401.68124727],[-10726.97397865],[ 3122.37914303]
[ 56568.85109867],[-70281.56629646],[ 10049.54819056]
[-62188.11775648],[ 77404.73236523],[-52260.29231356]
[-21385.76567101],[ 39000.08888269],[-36321.32684718]
[ 43808.88277265],[-25889.0049498],[ 25701.08042319]
[-92124.89635722],[ 8648.79799782],[-59093.65836649]
[ 66779.958882],[-990.27682691],[-66393.90270376]
[ 53336.73297307],[-60655.51490278],[ 87076.51736271]
[ 80129.68112369],[-3413.46418642],[-6750.20541181]
[ 51386.42529622],[ 16080.48764148],[ 20724.90989423]
[ 46750.11064112],[ 81192.28720996],[ 38273.8170941]
[-33245.92511684],[-62445.2909474],[-731.88625854]
[-52531.25461842],[ 38932.28621349],[-600.69864768]
[-77730.67757798],[ 92654.38547789],[-58452.64268243]
[ 74475.98311784],[ 56969.73091913],[ 49690.55462157]
[-62430.53884824],[-50222.77198077],[ 46624.8049441]
[-41040.68257792],[ 2550.30610145],[-19571.93817593]
[-77299.78094604],[ 38274.79214506],[ 22265.54110977]
[-77225.5332186],[-54559.33611504],[ 44307.48456799]
[-78553.13281814],[-88992.78996607],[ 39426.77799236]
[-37808.41832171],[ 61299.32615479],[-2405.55722744]
[ 66224.85534305],[-76867.79937966],[-7192.01764992]
[-76101.04437924],[ 30930.36775772],[ 9678.8231654]
[ 23912.18902074],[-31919.68958408],[ 4378.85241149]
[ 22982.46342363],[ 2122.16646217],[-30702.411816]
[-10109.93752486],[ 51390.2589579],[ 43782.57556099]
[-14503.88833999],[ 73834.62333081],[ 17756.7267629]
[ 92048.54522461],[-80088.92930488],[-12550.79545068]
[ 45101.72353499],[ 81442.83240204],[-59569.57727519]
[-39740.6416151],[-19705.74943399],[-43220.97892664]
[ 13485.645251],[ 74643.70792576],[-94871.29781957]
[ 91988.93156556],[ 85525.03514405],[-41191.76935277]
[-39585.64494959],[-48133.47989094],[-87877.71236229]
[-70348.56872832],[ 62342.3922925],[-55940.20833465]
[ 55645.88131591],[ 66637.26560763],[-44419.50847459]
[-96250.23435919],[ 73715.24251552],[ 23931.97378923]
[-45678.13483943],[-4862.62844736],[-90359.92362211]
[ 20003.16328751],[ 87539.79192074],[ 66513.83073021]
[-6473.20655763],[ 39605.04788711],[ 60128.12831291]
[-70977.09179935],[ 38114.69932259],[-8950.23159455]
[-32375.40933181],[ 59077.52460204],[-6644.04584713]
[-64685.23160835],[ 87048.35114169],[-53864.81243734]
[ 32602.50080996],[-76155.9755498],[-17997.63474225]
[-34858.54560578],[-54006.10937475],[ 77291.74718652]
[ 86750.33684387],[ 36523.6399374],[-51385.1761807]
[ 16873.0219637],[ 18326.01506272],[-61384.80074007]
[-58583.50848833],[ 78349.06174868],[ 64154.24090258]
[ 55612.14626513],[-49500.35881556],[-83198.54191801]
[-61883.03290068],[ 53649.8962046],[ 29881.14890753]
[ 60820.11020366],[ 97243.91520526],[ 96180.32060144]
[-74936.34060847],[-84893.69378039],[-40697.38189099]
[-82925.91831377],[ 75517.72578453],[ 38726.55103363]
[ 3436.43852393],[-66998.15919418],[ 76664.80316908]
[-24568.61080638],[-23853.51032876],[-14380.08293577]
[ 56287.38463678],[ 2014.1192167],[-38758.73535163]
[-55985.84876861],[ 80151.795562],[-61389.90457815]
[-57242.26399726],[ 22543.82725409],[-55197.6842298]
[ 97205.18609004],[ 37904.29284268],[-45965.62443313]
[ 54371.11714548],[ 40205.18377627],[-25565.64026005]
[ 12008.44633666],[-64521.17344619],[-7004.28798895]
[-90669.83316714],[ 95425.92563975],[-57573.16453087]
[ 87900.01515897],[-26487.9706174],[-85754.03912687]
[-10391.67631615],[ 6117.31189039],[-17690.80513774]
[ 73929.17716123],[ 24931.71417179],[-43308.85370173]
[ 23056.42125461],[ 36604.49661635],[ 51137.45859382]
[ 58557.1272709],[-96586.0804374],[ 71621.5683368]
[-99068.32286361],[ 81109.43028156],[-96812.70911727]
[-42106.34576983],[-11414.81768975],[-23023.45123539]
[ 93723.60427121],[ 78577.81226929],[ 80733.61958434]
[ 64240.5233745],[ 3617.67505885],[-93656.82267269]
[ 77035.60478502],[ 75947.57316412],[-77971.92506169]
[-87400.36834405],[-67121.65937703],[ 28853.34837509]
[-48828.4819638],[ 5186.51489979],[-32927.41542031]
[ 75323.83085268],[ 26313.58214278],[-49580.70891091]
[-23074.13879001],[ 57558.84739932],[ 76113.70510135]
[-37597.12531705],[-64134.68375615],[ 39481.23088401]
[-3515.12584857],[ 72507.70690224],[ 65378.22380393]
[-27524.22448597],[-40905.39035646],[ 44962.97126998]
[-88124.16586946],[ 70047.45508652],[-54119.43818629]
[ 79627.61974765],[ 7639.17953679],[ 13628.94724157]
[-7994.13376481],[ 72057.83283167],[ 15492.04012658]
[ 87093.28109642],[ 98342.56625481],[ 22790.29599863]
[-35413.60278952],[ 67361.90314537],[ 29684.52436871]
[-96312.88579242],[ 15140.00106975],[-53453.19100989]
[-37083.22330408],[-63121.30079093],[-64226.97455968]
[-62331.27519175],[ 46831.037885],[ 39515.37425565]
[-76053.38806948],[-97152.25058751],[ 79664.96622641]
[-64026.9940514],[-84929.08322341],[-86470.136525]
[ 28364.51005663],[-76861.93734665],[-28865.56515626]
[-9470.3025644],[-94850.36354208],[ 88297.97003033]
[ 44931.71823725],[-62436.03057977],[ 90152.82809708]
[ 22938.5600946],[-80964.16333549],[ 48610.82844315]
[ 81555.9822183],[ 54616.07767354],[ 82855.49870385]
[-58310.04616809],[-64133.17763523],[-39644.82949627]
[ 28967.42589092],[-69540.64672571],[-98581.26135473]
[ 50445.84462098],[-16946.17223187],[-425.9965808]
[-17815.68239354],[ 59586.43039387],[ 67199.32284585]
[-6187.35729161],[-56348.12001957],[-97660.852171]
[ 18950.16338231],[ 43922.05537611],[-63301.32298633]
[-25962.73517407],[ 66877.80510009],[-4943.99915669]
[-84824.16602549],[ 63810.29900253],[ 34590.53001325]
[-52826.84216859],[-86931.35191171],[ 27663.73590576]
[ 42187.72522418],[ 97635.3212856],[-24033.8026932]
[-18193.16374106],[ 62854.54355996],[ 79373.62535881]
[-75200.10972604],[-37352.66228082],[ 88448.31895182]
[ 87927.92945049],[-73909.37450688],[ 50768.49279026]
[ 47409.32392578],[-35904.12372279],[-17432.95222876]
[-17679.01385907],[ 32632.44178853],[ 40925.2321271]
[-62742.59442112],[ 67536.14747159],[-46157.10147375]
