[ 64752.83540698],[ 82848.72287671],[ 83090.59372433]
[-93893.81312578],[-22271.03403418],[-39459.03335709]
[-40031.92155146],[ 13840.36620674],[ 22796.88479602]
[-33629.68791303],[ 70668.75780348],[-33895.07238976]
[ 96629.0014555],[-56227.45284914],[-14808.58108886]
[-61030.7120398],[ 55999.65561489],[ 28151.98417892]
[ 53183.53219735],[ 3031.34542895],[-91562.49036161]
[ 89552.10541304],[ 89549.2038645],[ 5747.86205052]
[ 60619.818995],[-66776.02855785],[-89265.92345008]
[-85767.86623407],[ 75499.0933068],[ 75140.04099128]
[ 66169.2851584],[ 7522.29600391],[-88710.93820338]
[-24982.50053897],[ 92473.05835158],[-60770.29332884]
[ 90209.73148346],[-60121.92432191],[ 55744.60718033]
[-56115.77376521],[ 86075.59525912],[ 82614.62163711]
[-10985.27007065],[ 50112.12120937],[ 94592.90775836]
[-9060.34093472],[-59528.40022956],[ 8901.71243]
[ 85857.59260492],[ 95718.93758521],[ 23924.88117893]
[-75357.48517409],[-28311.42903923],[ 9307.84604451]
[-4954.53883003],[-79165.88527685],[-73470.27019708]
[-2874.83533285],[ 40114.29537012],[ 82476.41673412]
[ 16654.12119086],[-20028.67850451],[-8367.26113791]
[ 10041.88575008],[-3401.94145996],[ 94623.67418402]
[-42324.7861753],[-94084.10417276],[ 38366.20393849]
[-7565.64426915],[-1029.32708814],[-15839.72785603]
[-78146.29205768],[-22229.95016984],[-6469.2806408]
[-10343.48121818],[-32084.35959279],[ 28189.57009783]
[-9939.41108899],[ 55275.95420212],[-37196.66114642]
[-50122.26469393],[-17833.11741801],[-83767.26079976]
[ 98797.24050517],[-19576.12045004],[ 18487.40257079]
[ 76355.83177257],[-80133.60951374],[-29977.09672804]
[ 87909.79856239],[-48279.74244119],[ 63065.64229791]
[ 12327.90586855],[-19389.03484826],[-26247.78385071]
[-35156.47477419],[-60310.58237029],[-89091.22151145]
[-73047.98217588],[-91523.54156751],[-84224.83331697]
[-45639.39048982],[ 88291.20600506],[-30182.38084622]
[ 52544.6778898],[ 70296.51904927],[-54902.32368369]
[-55374.86589985],[-34252.39133667],[-55590.64757516]
[-20386.4807881],[-17539.88755055],[ 8167.27572062]
[ 82898.74786308],[-67066.84355458],[-68435.2458145]
[ 2760.42313628],[ 6782.9924035],[ 36539.84939954]
[ 59497.3206877],[ 47261.84594537],[ 46474.55413745]
[ 5161.52815607],[-2609.65831864],[ 39395.62060548]
[-94514.27181182],[ 78141.97385275],[ 97927.4875806]
[-58196.2321158],[-82749.13910178],[ 31984.33195456]
[ 92325.14306062],[ 64475.11565479],[-71938.91753428]
[ 49859.27621898],[ 86894.46138037],[ 8713.29712673]
[ 18288.87408495],[-45970.97224224],[-29897.17040543]
[ 42880.47484179],[ 28197.55243844],[-71355.04188441]
[ 89074.49008703],[-9607.97612095],[ 85199.69716787]
[ 75469.59135474],[ 32928.70408753],[ 28641.8775594]
[-75271.39869259],[ 46888.91812531],[-98412.49241762]
[ 83219.60809995],[ 33306.71304419],[ 52778.05078005]
[-59232.86725905],[-86113.64038826],[ 19732.60976071]
[ 19562.46567369],[ 87984.24502994],[ 53246.84146606]
[ 77628.30917178],[-78583.62917585],[ 30486.18797241]
[ 58052.65341988],[ 49723.8338798],[ 33585.25632819]
[-14506.13085828],[ 52945.0717272],[ 41306.13851484]
[ 7306.89106018],[-9439.75070344],[-22215.66138623]
[ 52682.60040805],[-50942.54621461],[-61989.86896186]
[ 16550.31658358],[ 66811.95055763],[ 85759.72186789]
[-15886.31176274],[ 39758.53511954],[-90918.28372185]
[ 18192.88332584],[ 96268.91653276],[-68108.33845084]
[ 2780.38098881],[ 1890.73415973],[ 95030.10159978]
[-43512.79520328],[ 63568.42733169],[ 44486.18625538]
[-54337.95819055],[ 18346.23740262],[-62852.51178991]
[-95097.52992461],[ 46368.59700477],[ 95321.20430145]
[ 47379.85085412],[-74853.84385745],[ 5444.06244587]
[-20368.20332284],[ 91391.74053128],[ 21964.46117205]
[ 79755.15035393],[ 92428.44085329],[ 19837.0784913]
[-66483.44836383],[-28432.59445319],[-1534.52086984]
[ 13830.44022604],[-93263.21400687],[ 14552.0853592]
[-6097.46279579],[-68231.77053296],[ 65332.0557516]
[-6345.12942891],[-59783.9552342],[-21470.37575667]
[ 54376.78289559],[-53965.28017165],[ 18178.53527282]
[-32721.35659126],[ 19332.52572506],[-34231.13620972]
[-63171.23670588],[ 66292.2475939],[-27771.7839222]
[ 96614.02403513],[ 70823.98881818],[ 64436.95538806]
[-52629.54786072],[ 39927.73684905],[-70500.82821996]
[-36664.41094453],[ 97604.73790437],[ 97665.24998775]
[ 37650.69489411],[-3707.91691275],[-31868.53362812]
[-40822.59604457],[ 43681.02890715],[-24254.37220868]
[ 48692.81939855],[-1925.58108646],[-60535.3188028]
[-9823.45760943],[ 12018.57440696],[-12602.1061437]
[ 71636.8687013],[ 68891.2013862],[-40928.34503828]
[ 84256.66123944],[ 44228.54983197],[ 41236.32743666]
[ 83689.5125186],[ 93576.68871351],[ 53086.48860352]
[-56337.93728547],[-57073.43380137],[ 43796.69497191]
[ 19435.17598313],[-4929.38081929],[-93348.09282903]
[-63413.38698076],[ 70112.980912],[-36924.39549192]
[ 91760.2948407],[ 115.80338954],[ 533.23768576]
[-39253.92817044],[-34072.59392125],[-87610.12262523]
[-11487.07436179],[ 1479.62972925],[ 46523.15763649]
[-73097.438301],[-87206.26424194],[ 6340.28133435]
[ 28.94766515],[-1386.27075952],[ 77600.95379047]
[ 67231.29121691],[ 63693.1570888],[-36381.59714615]
[ 24029.07485527],[-57926.49706385],[ 17062.75704679]
[-40774.40235333],[-46140.73333388],[-40217.8057306]
[ 28455.4415535],[ 98661.54977807],[ 49823.37221603]
[-58463.70330709],[ 90459.84113162],[ 36536.25509874]
[ 64250.56221763],[-83673.25722374],[-40733.48575928]
[ 65711.66245725],[-24456.76684011],[-21498.97221559]
[-58516.60558323],[ 90312.70017135],[ 79184.80767253]
[ 55305.41560693],[-92087.08067357],[-77139.47325392]
[ 6236.56131714],[ 15915.85668259],[-88798.33019049]
[-86634.61388586],[-66041.07131071],[ 3651.03949295]
[-62659.81705209],[-72929.49008791],[ 42655.65756155]
[-96591.76807969],[ 25657.00212494],[-71910.76115079]
[-42944.77652498],[ 59017.31532469],[ 1348.77759406]
[ 75075.4406449],[ 46906.73535418],[ 23485.82148033]
[-16426.57208521],[-78483.32449321],[ 3514.36166551]
[-85991.63008633],[ 27061.31513513],[-32406.04135833]
[-99777.27879646],[ 4881.07231628],[ 15942.0258739]
[ 73238.01484213],[-33384.61655093],[ 50527.05381326]
[-58968.76973128],[ 16974.85049705],[ 60866.51368442]
[ 93868.49214074],[-51865.66601882],[ 65816.08843207]
[-21574.7137006],[ 50081.36964824],[-22239.88483126]
[-88481.45206247],[ 28013.22509147],[-8476.12443273]
[-37359.20064874],[ 12840.75797703],[ 59380.09368431]
[-99210.6322188],[-55856.06040776],[ 88310.06961047]
[-55946.23241788],[ 34299.71443322],[-5297.42329802]
[-80483.1530733],[ 53787.90646989],[ 38787.17033053]
[-7803.06998877],[-5400.89752123],[-12473.11373934]
[-93431.62371368],[ 44098.41154306],[-47371.7291207]
[-23898.27924658],[-24217.49578741],[ 18697.56760788]
[-49626.49926482],[-89777.51466856],[-29291.29625945]
[-19486.16385697],[ 73831.27505038],[-63246.1639736]
[ 66543.79903913],[-5101.36131563],[ 86138.95230256]
[-14836.57862037],[ 72717.40104188],[ 94449.72273356]
[ 30407.67975004],[ 81671.50848434],[-5479.57846898]
[ 57041.75672777],[-97279.84815582],[ 63923.67495068]
[-1043.78733078],[ 90694.47356862],[-34323.85004729]
[-84034.84507184],[ 84764.17994489],[ 7478.87005744]
[-80282.56854253],[ 8366.26158961],[ 15557.68683773]
[-2522.74931245],[ 56780.3902772],[ 29155.10559215]
[-11667.40592939],[ 92524.055445],[ 20613.37387605]
[ 54205.06872405],[-15038.37965734],[ 69231.15749106]
[ 78710.44029772],[ 5127.91260189],[-93772.74785337]
[ 96163.26607655],[-55640.15614306],[ 84936.18354574]
[-8721.7028287],[ 41509.79252206],[-92159.79286843]
[-19992.4150883],[-30768.19818837],[ 52234.97620578]
[ 51402.47455908],[-5454.17439435],[ 77031.94075298]
[-46402.78919129],[ 69731.30399254],[-88123.13150922]
[ 24922.74593593],[-68260.87486204],[ 66773.74868715]
[-9451.49488188],[ 7472.69817389],[ 66054.02852693]
[ 27585.00118623],[-82391.26890216],[ 87135.54965595]
[ 85466.6971757],[ 61937.95163696],[-38614.55733078]
[-62732.11159048],[-45746.84555963],[ 68621.86076408]
[-37163.14832699],[-17192.63594361],[ 66003.24663132]
[ 12166.96298509],[-1694.58131371],[ 98069.5772974]
[ 69842.45803065],[ 94674.19468234],[ 78827.74280782]
[-78145.51975395],[-74352.8103705],[ 52954.26132521]
[ 49592.06175906],[ 2243.75342864],[ 6678.8405757]
[-31152.06778309],[-9099.40104092],[-40738.72640835]
[-11976.59872227],[ 36377.71841463],[ 6012.6588974]
[-18803.52209535],[-41264.43757067],[ 44486.59379617]
[-69836.59514932],[ 2941.7887792],[ 60993.1343823]
[ 69943.41715372],[ 92997.08149661],[-12515.8389982]
[-65193.30900685],[-70637.80224172],[-31381.37355988]
[-11228.36426526],[ 23714.26052663],[-16187.66965672]
[-36476.36711592],[ 53455.26867564],[-85600.29558076]
[-97861.47665162],[-68082.70090912],[-2139.76176481]
[-27421.37925237],[-4898.11458716],[ 22344.66160037]
[ 93915.19321859],[ 67762.9373887],[-98111.2804692]
[-21181.65535863],[-73873.17822349],[ 24830.35011506]
[ 87682.90078859],[-32014.02459289],[ 21118.55431131]
[ 98651.8094252],[-64296.4136343],[ 11465.04227036]
[ 58978.94527768],[-51776.35522408],[-19332.79210105]
[ 66392.61415909],[-33327.45826543],[ 909.14296959]
[-21173.36332728],[ 29784.55817027],[-47553.23061565]
[ 21664.42700902],[ 74584.36060581],[ 86901.23237232]
[ 74585.39171096],[ 23390.66113557],[-96691.49342585]
[-56234.1274817],[ 25221.80462668],[-13117.77116462]
[-69161.91121094],[ 37200.36265242],[-50561.3698702]
[-95976.99991179],[-49983.51693653],[-38211.18418015]
[-46382.28888712],[-97558.72239851],[ 16011.4314559]
[ 32754.90851601],[ 56620.74651239],[-13162.59187858]
[ 91294.48641191],[-31052.39769163],[ 81759.74976489]
[-2322.26876279],[ 24148.8532014],[ 78116.48889079]
[ 53589.67617678],[ 66708.15631012],[ 63472.13400359]
[ 91222.849847],[-67018.45140993],[ 65147.64185211]
[ 61123.45093159],[-69225.94859223],[ 66836.99606227]
[ 1982.09618794],[ 96685.81170032],[-89282.48157099]
[ 78393.575879],[ 82993.90107151],[ 47138.32673906]
[ 26790.30431026],[ 26120.11678977],[-68050.50745702]
[-99677.41863655],[ 39276.37025772],[ 46151.88193828]
[-91517.81871916],[ 64779.38417537],[ 33145.34865036]
[-45205.8311286],[ 70778.76047907],[ 13637.73725141]
[-83099.82261847],[-33029.5465471],[ 74553.44785675]
[-2777.8277505],[ 29800.54362873],[-28241.20991246]
[ 3216.25306357],[ 59478.09044479],[-242.08479369]
[-22699.01051212],[-23551.85656119],[-18680.44227753]
[-11426.97651263],[ 84617.41816195],[ 21254.10860657]
[-60489.1890711],[-50028.63063088],[ 71527.60602888]
[-32306.3615175],[ 73261.90612253],[-76712.15571504]
[ 26804.13191067],[ 35568.44889481],[-8368.21101345]
[-6180.32099212],[ 90981.10220567],[ 80642.03767564]
[ 56860.06127067],[ 90288.83534054],[-9888.91002566]
[-15597.79227474],[ 64163.29054606],[-11217.77297789]
[-54811.24897274],[-40457.28068428],[-95303.75600484]
[ 26564.19661556],[ 89549.08950601],[-98274.61735074]
[-5461.66328243],[-12390.67913365],[-9507.81349678]
[-67123.86813196],[-96506.97315626],[-77320.33172308]
[-80119.84045865],[ 70251.31245599],[-42332.48749303]
[ 98165.92546724],[ 74639.00127945],[-31986.23841206]
[ 9985.03282617],[-17322.50172969],[-32057.71477249]
[-52311.2666989],[ 40120.79240571],[-12723.6678423]
[ 48905.60654451],[-57317.19783131],[-68484.29550059]
[ 10373.90950577],[ 89635.80486796],[-36770.90021255]
[-27129.60970882],[-7790.37070837],[ 92231.85630371]
[ 84785.14060658],[-40847.72402629],[ 33492.87401396]
[-25621.75270326],[-97929.5468491],[-65958.13057452]
[-93066.75095015],[-73418.79847229],[ 81647.41770447]
[ 26713.17859515],[-88731.43701721],[-3339.95570755]
[ 8891.42963018],[-17933.00114243],[-14371.44876144]
[ 1566.23249132],[ 32415.24027477],[ 9081.8117841]
[-83013.318204],[ 88710.7808297],[-93903.21737785]
[ 82939.41203852],[ 1008.27256774],[ 63257.96758595]
[-12428.90931986],[ 76455.42755918],[-29867.4836387]
[ 40943.39529657],[ 53980.83454243],[-27657.53931325]
[ 9284.39039444],[-72826.96627719],[ 49665.02312438]
[-84850.5712952],[-64932.21267721],[ 47939.43235635]
[-88118.80794446],[-55567.26037871],[ 81191.13438467]
[-70229.8643806],[ 53987.71423555],[-96180.82247667]
[-99550.12728292],[ 35390.43798778],[-39103.27285232]
[-74314.66094864],[ 28359.43810076],[-62906.90659682]
[ 75740.54879709],[-22861.70414414],[-97608.06895908]
[-75638.85362401],[-20895.61383276],[ 7446.97756098]
[-65219.32987938],[-50987.11617441],[-25452.85767165]
[ 97121.06885564],[-49880.3778779],[ 20575.49474559]
[ 77170.23611106],[ 61254.32903543],[-82516.77843252]
[ 48883.74314505],[ 59598.75773463],[ 88847.87476507]
[-20304.40950792],[ 26762.04352858],[-60366.53478695]
[ 43401.72631579],[ 60969.60765724],[ 5185.41817182]
[ 36896.645137],[-90093.41953684],[ 97391.7901151]
[-41978.9878925],[-94196.22169824],[ 96576.1231764]
[ 79788.50668197],[-85277.67480109],[-18005.8580556]
[ 10371.3359574],[ 49846.38319556],[ 2374.49751191]
[-73730.91998692],[-53013.39326501],[ 83284.80893565]
[ 51623.10640371],[-41223.13543255],[ 43177.53066844]
[ 68171.83361418],[ 46433.50582785],[-31088.37629965]
[ 67824.14732871],[ 96897.65199689],[ 39844.19140127]
[ 51911.0940408],[ 3770.10855059],[-36108.70541159]
[-8773.05245673],[ 86924.49264432],[ 31451.13969313]
[ 73228.79146232],[-44477.72638685],[ 82316.19848618]
[-26952.83155636],[-10044.24308473],[ 65280.02566388]
[-31789.93849833],[-9683.77595163],[-84389.76674056]
[-94304.84783092],[-3163.44396748],[-10166.95682503]
[ 27370.82532543],[-37988.08423112],[-35213.5918716]
[-22275.35714768],[ 93470.44286398],[-46300.84071751]
[ 56556.42989683],[-82731.30617082],[ 87697.16381818]
[ 50935.04933956],[-56122.18757708],[ 12789.79893893]
[ 17932.99590342],[-10900.12997866],[-60744.96668828]
[-47609.57218673],[ 81288.33397588],[ 65771.16149437]
[ 68046.13269754],[ 35591.40635943],[-86897.58456854]
[ 33804.16834772],[ 766.15293721],[-91133.97899711]
[-91625.6481621],[ 8482.15766807],[-46663.93966474]
[ 34699.47823113],[-60401.30193294],[-70778.70602921]
[-95815.73826152],[-73968.52289192],[-35934.51734947]
[-63746.45190243],[ 70223.80510601],[ 49089.35105198]
[-85172.19793624],[ 75026.55604322],[-8131.96165905]
[-67272.04660058],[ 90354.76557929],[ 59428.96781863]
[ 32133.40978699],[ 32256.03661793],[ 41348.33105227]
[-27792.264159],[-46779.79065704],[ 4539.14195196]
[-63422.99927382],[-33813.94170257],[ 31792.8159035]
[ 96303.69530683],[ 9992.81088935],[-3193.68537066]
[ 38596.61317368],[-99451.63094194],[ 11360.26006718]
[ 64461.97170829],[ 73615.94997822],[-24109.26371334]
[-34426.05975748],[-79799.16743137],[-5197.84477474]
[ 62959.9373359],[-45804.29522435],[-15632.44254981]
[ 2757.14376319],[-47864.50904984],[-12603.58165676]
[ 94996.66542927],[ 65546.13720966],[ 4888.91296491]
[ 78633.65891797],[ 11740.35740379],[ 3188.91209451]
[-95215.8437903],[ 32084.49583044],[ 20057.32831364]
[ 50359.41252515],[-148.82093779],[-80900.64772354]
[-9625.95651438],[-52997.3025487],[ 48798.30948774]
[ 84253.64749166],[ 3394.76734006],[ 76781.37109597]
[ 70753.08813006],[-19143.17078123],[ 84869.24598232]
[-56043.1127532],[-89561.16852859],[ 30358.27208713]
[ 80548.47452813],[ 57329.66281445],[-60951.3643117]
[-19641.32299583],[ 3631.93595285],[ 90595.19547572]
[ 513.98017262],[ 22274.68009384],[ 18630.37571645]
[-28509.69474989],[-409.95679287],[-9266.89078614]
[ 2269.86516601],[-55779.67593047],[ 38132.32070367]
[ 71679.79674863],[-64144.97365605],[-7529.70958604]
[-10922.05712193],[-3419.16584266],[-51154.46787851]
[-6896.12097432],[ 97550.74087515],[ 60838.90165312]
[ 95189.66452146],[-78756.40398622],[-13449.88642531]
[-41674.28624097],[-64985.25429994],[ 7071.064587]
[-99487.12796603],[-78638.66731751],[ 28606.46018643]
[-32894.67681169],[-30727.74105326],[ 43920.02398402]
[-42826.75457377],[ 23983.4064953],[-55631.89787561]
[ 9355.48737594],[ 53597.68927853],[ 54241.30061832]
[-88604.19493654],[ 93214.01410306],[-64369.36961726]
[-25399.44122635],[-42736.86819521],[ 25861.08239215]
[ 1944.72913268],[-57109.52255472],[-41336.00110294]
[-25928.12752554],[-80956.41320881],[ 66810.7739919]
[ 85592.34398974],[-23757.2085668],[-3758.79486338]
[-61361.53216734],[-48830.09776141],[-75143.29810179]
[ 62730.2312395],[-26455.00280402],[-33848.741906]
[ 94237.42340522],[-68630.60206575],[-11073.72262334]
[ 4691.98069492],[ 25397.97797543],[-87171.78130314]
[ 70067.85689235],[-10837.41864309],[ 98253.44665181]
[ 14140.1750956],[ 14167.55461632],[ 85727.63017869]
[ 48885.36422125],[ 64818.09100846],[-49309.82797592]
[ 48472.5593378],[-49277.35962213],[ 74673.32570238]
[ 25683.24988524],[ 32196.53410566],[ 3173.70952407]
[-23674.10367597],[-13167.06585379],[ 4654.04033551]
[ 31166.312351],[ 71750.40857121],[ 31097.69060882]
[-72141.20587939],[-21916.54789956],[ 32954.05457952]
[ 34719.36650163],[-71483.1053081],[-29850.86836309]
[-7172.97582743],[-7343.17881002],[-86915.66676423]
[ 20437.97059391],[-39418.44174422],[ 46659.86422401]
[ 75894.24833794],[ 47016.31564731],[-1650.37254203]
[ 61979.91927661],[ 19457.484125],[-71723.45165792]
[ 28838.81222096],[ 5446.35203652],[-90753.03624842]
[ 13845.39660565],[-32224.80472347],[ 59661.83112617]
[-49874.52799259],[-20819.1845233],[-71409.02718493]
[ 47331.41150225],[ 85978.49232982],[-88985.98879774]
[-84303.64512997],[-38202.29380232],[-36185.56479602]
